Time,Activities,Duration,Distance,Avg speed,Avg pace,Avg heart rate,Ascent,TSS®,Calories,Est. VO₂max
03/01/22-09/01/22,8,10:51'22 ,"80,79 km","7,4 km/h",08'03 /km,118 bpm,2 157 m,456 TSS,5 601 kcal,"58,0 "
27/12/21-02/01/22,7,9:17'06 ,"85,69 km","9,2 km/h",06'30 /km,139 bpm,1 718 m,454 TSS,6 840 kcal,-
20/12/21-26/12/21,6,4:49'51 ,"51,50 km","10,7 km/h",05'37 /km,139 bpm,350 m,238 TSS,3 318 kcal,-
13/12/21-19/12/21,10,6:57'33 ,"72,58 km","10,4 km/h",05'45 /km,130 bpm,164 m,340 TSS,4 347 kcal,"52,8 "
06/12/21-12/12/21,10,6:42'05 ,"57,49 km","8,6 km/h",06'59 /km,121 bpm,506 m,281 TSS,3 617 kcal,"54,1 "
29/11/21-05/12/21,6,5:34'29 ,"39,51 km","7,1 km/h",08'27 /km,107 bpm,37 m,214 TSS,2 467 kcal,-
22/11/21-28/11/21,5,6:21'07 ,"34,90 km","5,5 km/h",10'55 /km,95 bpm,299 m,233 TSS,2 160 kcal,-
15/11/21-21/11/21,0,-,-,-,-,-,-,-,-,-
08/11/21-14/11/21,3,1:54'04 ,"18,13 km","9,5 km/h",06'17 /km,117 bpm,115 m,55 TSS,968 kcal,"57,4 "
01/11/21-07/11/21,5,4:41'10 ,"49,98 km","10,7 km/h",05'37 /km,127 bpm,436 m,169 TSS,2 416 kcal,"57,8 "
25/10/21-31/10/21,7,6:27'21 ,"76,15 km","11,8 km/h",05'05 /km,137 bpm,1 575 m,355 TSS,4 422 kcal,"57,1 "
18/10/21-24/10/21,5,5:54'28 ,"68,78 km","11,6 km/h",05'09 /km,140 bpm,1 558 m,347 TSS,3 974 kcal,"56,3 "
11/10/21-17/10/21,6,5:57'42 ,"68,15 km","11,4 km/h",05'14 /km,139 bpm,1 316 m,344 TSS,4 115 kcal,"55,6 "
04/10/21-10/10/21,5,5:25'43 ,"61,84 km","11,4 km/h",05'16 /km,139 bpm,1 016 m,318 TSS,3 679 kcal,"56,1 "
27/09/21-03/10/21,6,5:37'08 ,"89,32 km","15,9 km/h",05'07 /km,141 bpm,904 m,341 TSS,4 083 kcal,"57,0 "
20/09/21-26/09/21,4,4:16'31 ,"49,56 km","11,6 km/h",05'10 /km,142 bpm,1 029 m,260 TSS,2 978 kcal,"56,2 "
13/09/21-19/09/21,9,9:02'33 ,"85,44 km","9,4 km/h",08'29 /km,128 bpm,1 838 m,402 TSS,4 794 kcal,"56,1 "
06/09/21-12/09/21,10,8:06'18 ,"141,5 km","17,5 km/h",05'13 /km,131 bpm,1 617 m,437 TSS,5 021 kcal,"53,3 "
30/08/21-05/09/21,5,5:30'09 ,"112,1 km","20,4 km/h",05'21 /km,145 bpm,950 m,333 TSS,3 372 kcal,"52,3 "
23/08/21-29/08/21,1,1:53'24 ,"11,02 km","5,8 km/h",10'17 /km,122 bpm,494 m,69 TSS,1 080 kcal,-
16/08/21-22/08/21,4,3:57'18 ,"57,28 km","14,5 km/h",06'05 /km,141 bpm,806 m,240 TSS,2 849 kcal,"54,4 "
09/08/21-15/08/21,6,4:04'51 ,"70,55 km","17,3 km/h",05'29 /km,150 bpm,360 m,305 TSS,3 225 kcal,"53,7 "
02/08/21-08/08/21,2,49'37.8 ,"8,53 km","10,3 km/h",11'02 /km,111 bpm,106 m,21 TSS,418 kcal,-
